31371:17,302,616,8,866,29,238,70,654,76
31386:17,224,654,650,866,302,76,1245,138,899
8717:81,542,394,1344,495,2369,5767,1690,1884,3819
18887:495,709,2593,16191,22484,26528,23490,4189,21627,24378
94:17,616,654,302,76,564,58,84,29,650
18901:654,58,29,616,289,84,301,76,354,138
8718:76,226,564,698,81,984,302,1326,654,5480
31405:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8719:654,84,58,361,354,8,29,616,736,1102
8735:17,654,302,616,29,76,866,70,58,650
18944:302,654,616,58,8,29,518,226,1102,101
31445:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8736:17,76,500,81,564,6491,361,168,62,358
31462:17,866,226,302,76,70,986,361,2265,238
106:84,8,29,518,1102,101,15,736,226,70
8746:302,58,76,616,650,8,29,84,866,70
31475:70,899,65,81,226,931,947,378,190,1499
18965:508,495,2068,2593,16191,5328,22484,26528,4189,21627
8747:654,302,866,29,899,354,226,736,84,947
31497:17,500,2139,70,542,899,986,3423,119,780
115:58,8,518,29,138,15,354,861,301,285
18999:17,616,58,84,302,564,518,654,76,289
8755:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
31499:719,495,1730,2582,2593,16191,22484,26528,11732,4189
116:17,76,226,70,564,866,508,361,986,354
19001:302,70,654,76,616,8,65,226,138,736
8760:17,302,518,76,354,616,58,238,8,29
31502:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19006:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8765:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19010:17,654,58,866,76,70,1102,84,289,285
8768:17,81,76,698,564,262,500,70,508,2139
19019:17,654,302,58,84,70,616,361,8,866
31508:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8771:17,8,654,302,58,650,736,354,301,76
19022:17,986,226,899,140,262,500,1023,2967,2265
8774:17,302,654,616,76,518,1102,58,29,650
8782:76,564,719,168,698,866,224,542,226,361
31510:61,2548,495,717,21,2593,1353,16191,7264,14176
19025:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
142:58,8,84,29,61,81,32,301,1102,861
8788:58,76,29,84,8,736,564,650,354,1102
31541:17,302,8,84,654,616,1410,236,29,650
8789:17,76,866,226,301,736,899,1352,327,65
19030:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
31545:17,58,650,873,986,301,736,899,1099,698
143:17,302,616,84,564,394,483,363,32,62
19032:17,564,736,899,431,62,182,273,168,2162
8790:17,70,76,226,1344,1382,301,736,669,6503
31551:17,224,654,650,138,358,301,861,62,947
8802:302,654,354,866,8,616,736,29,650,138
148:17,76,986,654,84,29,8,138,564,1023
8810:17,76,873,947,238,669,327,61,698,262
19043:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
150:17,302,654,650,8,29,866,84,322,301
8812:17,986,226,76,29,70,140,564,542,138
31563:76,168,719,564,226,698,2318,986,1069,2275
31578:17,76,654,302,58,29,564,616,736,238
156:302,84,8,58,616,1102,301,29,70,138
19046:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8822:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8825:302,654,58,8,84,616,76,1102,29,650
161:616,84,76,301,29,866,138,650,15,6
31585:698,262,495,2326,5738,1205,463,827,4444,3081
19048:17,302,654,76,616,58,650,84,8,564
171:302,76,138,84,8,866,650,301,354,6
19049:17,774,302,245,947,899,970,654,224,301
8844:17,302,84,518,654,224,76,138,285,8
31597:495,2593,16686,16191,62870,22484,26528,4189,21627,24378
172:654,58,76,8,84,564,861,542,354,518
8850:4755,226,840,2880,1527,3107,378,2200,1712,2548
31639:81,76,2139,354,698,322,873,358,40,1344
8852:70,17,76,81,866,327,358,986,378,168
19050:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
31644:17,76,361,81,866,262,238,698,826,986
8862:17,899,866,84,224,931,301,48,361,245
19051:17,654,58,76,29,84,650,616,518,70
174:17,654,8,518,84,302,899,70,245,76
8863:302,654,8,58,736,866,301,518,354,138
31653:17,840,76,302,2548,698,654,508,616,301
19062:17,84,81,58,138,302,986,654,76,301
8868:17,8,76,736,354,138,518,327,58,899
31687:17,302,899,8,650,1245,190,116,962,3235
177:17,654,58,616,29,84,76,8,518,542
8870:17,29,58,354,8,866,138,70,518,224
19065:302,17,76,616,70,32,650,654,6,238
8872:17,302,616,654,58,76,736,8,354,1102
31691:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
196:616,76,29,650,354,564,226,866,736,101
8877:17,302,616,654,76,8,58,564,84,15
19069:17,302,654,76,354,616,736,285,29,787
8889:17,76,302,301,899,327,431,273,429,1099
8890:17,76,226,654,866,81,15,899,500,986
31696:495,2021,2593,16191,22484,26528,4189,21627,24378,2945
8900:76,58,302,8,564,616,866,84,301,29
19070:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
31744:17,302,654,58,650,84,29,354,508,301
202:302,8,58,518,138,301,866,354,15,542
8906:17,76,302,654,650,58,616,354,81,8
211:17,564,8,76,787,508,103,327,84,873
8912:17,76,138,81,564,358,8,698,500,518
19094:17,302,76,654,616,58,224,8,15,84
217:17,518,8,84,654,58,245,302,508,70
31751:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8913:17,4755,840,76,226,2548,61,650,81,238
19095:17,302,616,58,654,76,8,650,84,29
8915:17,302,654,58,76,301,518,1102,650,138
19096:866,76,2139,361,302,81,698,262,500,70
8916:302,17,616,29,224,542,418,245,568,239
220:17,302,654,616,58,84,224,1102,429,8
31789:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19097:76,58,302,17,616,866,2265,564,698,654
8920:81,17,262,238,327,780,986,564,224,354
19102:654,58,1102,138,84,224,8,354,70,518
8924:17,76,226,508,698,302,81,441,2139,616
223:302,616,654,58,84,76,8,518,866,29
31791:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8931:302,654,58,84,8,289,76,518,616,361
224:17,302,650,8,84,301,353,654,224,76
19129:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8935:654,302,616,8,84,81,70,327,76,138
225:302,654,84,58,1102,76,70,616,866,1187
19130:17,76,654,302,564,866,58,650,236,226
31806:17,616,8,61,654,15,84,65,2139,70
228:17,302,58,654,616,650,76,361,29,138
19144:17,76,654,302,616,84,58,29,564,518
8936:736,495,2593,16191,22484,26528,4189,21627,24378,2945
8958:654,302,76,616,58,866,84,138,736,568
229:58,84,866,518,1102,15,736,361,285,32
19148:8322,1539,24933,16965,9674,6856,24425,45886,23923,30815
31822:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
231:302,76,58,654,616,29,84,866,354,8
8984:162,1462,495,14754,352,297,2593,16191,9345,60889
19156:8,508,245,327,1119,94,1023,378,398,1276
31890:1410,931,495,2593,20084,16191,22484,26528,4189,21627
232:736,190,495,3505,2593,10236,16191,5844,24068,22484
19163:76,8,1527,3107,2880,262,10041,1712,500,840
9000:17,302,1102,76,650,8,616,866,518,29
31920:17,76,8,84,236,81,226,508,616,58
19165:17,84,616,301,947,1102,861,378,2200,119
31926:17,76,500,81,616,564,361,6491,262,62
9001:17,76,1102,94,84,301,245,327,353,62
238:17,76,302,564,441,226,245,81,1744,70
31933:2265,17,76,302,866,81,2848,40,168,719
9013:17,302,285,58,29,654,616,76,62,1102
9024:17,616,302,81,76,58,6,238,8,1196
241:58,616,84,76,29,1102,650,518,564,866
19174:17,302,654,58,285,861,236,62,873,162
9079:81,17,302,654,262,500,29,1119,70,226
31937:17,302,654,58,8,84,861,650,65,518
9085:17,84,654,866,29,138,899,1102,76,361
19176:17,2139,361,698,236,500,986,40,1023,378
9096:76,226,378,70,2880,508,787,650,500,947
245:17,302,81,650,508,262,76,616,58,8
19178:76,226,866,361,698,262,2139,1119,409,398
9098:17,302,76,698,866,654,616,361,1344,2139
31947:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
249:17,302,654,84,29,76,8,138,70,301
9106:70,899,84,81,354,226,931,736,15,1119
250:302,58,616,654,8,84,29,1102,542,564
9111:302,616,84,654,8,58,76,1102,138,564
19184:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
253:17,76,508,189,500,378,8,1527,650,70
31955:17,76,616,8,564,518,224,6,238,861
9122:17,302,58,76,650,861,29,70,322,542
9128:654,58,616,84,29,8,866,354,138,736
257:17,84,866,354,289,542,1102,301,861,508
19185:81,518,61,32,1196,986,1023,483,190,1535
31958:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
272:654,29,866,354,1102,70,8,650,6,224
9135:17,302,654,76,58,70,84,650,616,1102
19198:76,168,719,564,698,302,81,226,2139,238
9141:17,76,3107,1527,84,262,81,1352,2880,378
19199:17,4755,378,76,58,866,84,650,70,226
273:17,302,654,76,736,138,650,101,354,226
31985:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
9152:302,616,76,654,58,650,8,84,301,518
19240:17,58,654,302,76,8,616,1119,736,84
9155:17,302,29,654,76,1196,58,8,327,866
32010:17,302,58,616,654,76,8,84,564,518
19241:70,899,65,81,226,931,508,947,409,378
288:17,616,58,76,84,29,650,1102,15,354
32032:17,302,866,58,650,236,568,409,564,224
19243:17,302,654,616,58,224,81,650,138,70
290:17,302,76,226,138,84,866,654,354,564
9157:76,70,40,508,533,2265,245,698,219,2139
32043:17,29,654,616,76,650,224,354,138,6
291:17,654,224,76,301,327,866,84,518,354
9158:17,698,654,1102,616,358,40,84,2139,70
9159:17,302,353,245,654,616,899,866,84,29
19244:398,495,294,1002,2292,4697,2602,1991,1007,4320
9160:189,76,1527,1712,2880,358,840,3107,4825,2548
292:654,616,58,76,138,301,866,542,289,285
32072:17,302,654,58,70,226,84,650,901,76
19246:302,654,866,84,899,58,29,354,138,616
9161:76,719,564,354,226,984,2318,2139,500,358
294:17,302,76,8,29,354,138,736,866,1102
9171:654,58,616,361,29,84,354,8,70,224
328:70,899,65,81,226,931,947,378,190,131
9173:302,654,84,58,8,301,76,616,245,354
32076:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19259:508,947,1382,1023,495,1790,1709,748,2068,8011
331:17,302,654,616,58,76,6,8,84,224
9200:17,616,302,654,84,58,354,76,29,650
9224:17,302,508,70,84,1382,226,899,8,654
32104:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19262:76,302,17,168,616,719,226,899,654,508
345:385,495,3250,1754,805,77581,16191,5726,16881,33223
9225:17,654,302,866,84,301,787,542,354,1102
32105:302,76,866,1102,84,361,616,736,58,899
19265:17,616,58,29,654,1550,8,84,236,45
32110:70,564,736,168,2265,96,2326,2292,1913,2414
361:29,354,76,58,138,301,8,70,616,650
19276:17,302,58,654,650,76,866,236,81,901
376:17,302,58,29,616,866,542,84,273,650
19277:508,866,698,157,650,81,1352,8069,197,4755
9233:17,8,84,518,542,787,902,1410,378,495
32123:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
384:17,302,616,654,76,8,29,542,564,518
9236:17,76,508,616,301,8,226,84,650,70
32140:17,654,84,8,302,70,564,931,1102,1119
19304:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
401:616,58,1102,301,29,354,650,138,866,542
19307:17,76,866,2139,81,698,564,354,616,58
9237:76,84,29,138,8,1102,736,224,15,301
9238:302,70,76,616,58,899,650,65,81,224
19308:302,84,354,58,654,8,138,29,650,70
32145:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
402:302,654,84,138,301,8,736,285,866,1102
19309:17,1187,84,2162,70,866,302,654,76,875
9245:17,654,302,58,866,616,224,29,8,650
32161:76,564,168,719,1002,1528,931,508,463,2715
19320:17,302,616,899,29,70,224,285,2548,327
410:17,76,508,4755,226,302,500,378,354,899
9249:17,654,8,84,616,58,518,1102,76,866
32165:17,81,76,650,301,289,840,2548,327,1119
9256:302,8,654,1102,58,76,866,29,354,518
19328:8322,1539,24933,16965,9674,6856,24425,45886,23923,30815
9276:17,616,58,84,564,224,1102,138,182,1239
448:616,302,8,58,76,654,518,84,81,245
9288:654,302,84,76,616,736,8,866,289,224
32180:495,1460,3288,1682,3789,877,11813,10752,10778,2593
19343:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
9290:8322,24933,16965,6856,24425,30815,45886,37112,13077,23923
449:17,302,654,616,58,70,81,650,8,29
32185:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
9291:616,302,8,654,650,84,58,542,1102,866
32189:17,302,508,431,650,70,301,101,899,238
19354:17,76,302,81,654,262,58,40,238,8
9310:17,302,616,654,224,76,542,58,238,8
32191:17,76,873,508,899,8,650,81,70,1109
9312:302,84,654,866,616,58,245,29,236,76
19355:17,654,616,58,302,76,138,542,8,285
9313:17,650,302,138,616,8,787,564,224,226
32205:76,1730,17,866,81,698,262,2139,361,40
32215:81,76,2139,354,698,322,873,358,40,1344
19356:495,377,2593,16191,22484,26528,4189,21627,59903,24378
9331:495,5545,3146,2593,12045,16191,17380,4875,13134,22484
32242:81,616,8,84,787,873,70,986,518,1023
19357:81,70,262,12022,12586,5381,2405,16387,1498,6227
9333:8,542,245,4268,353,495,2739,3039,2939,7334
19400:654,302,58,650,76,354,8,866,84,861
450:302,654,76,15,84,29,224,245,138,81
9350:17,654,302,616,70,736,866,84,698,361
32250:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
452:302,17,76,616,58,8,81,654,84,236
476:17,70,302,76,616,84,508,650,899,1382
19405:495,2593,16191,22484,26528,10333,4189,21627,24378,2945
9357:986,495,7585,2593,16191,22484,26528,4189,21627,24378
32251:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
488:17,302,616,58,76,518,508,542,564,15
9359:302,58,654,8,616,84,866,354,138,301
19410:302,226,866,650,81,70,361,245,236,441
19422:70,564,736,168,2265,96,2326,2292,1913,2414
9364:17,616,84,654,302,76,8,58,354,224
32256:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
490:17,302,76,101,138,15,301,354,29,650
32286:70,899,65,81,226,931,947,378,190,131
19433:656,495,535,2593,16191,22484,26528,4189,21627,24378
9368:81,70,226,1239,199,495,3137,962,888,4702
494:17,616,654,58,8,29,84,518,542,564
19434:76,17,564,40,650,302,698,262,616,58
9369:76,17,168,866,719,2139,81,70,564,236
500:17,76,285,866,29,650,62,564,138,736
32291:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
9371:302,654,866,29,76,361,138,1119,736,947
32300:17,654,76,302,8,364,542,29,650,616
514:17,76,616,302,654,58,8,650,224,70
9381:1913,17,76,866,81,2139,500,2848,254,535
19443:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
525:302,654,70,616,84,564,866,354,138,301
19444:76,866,302,564,81,508,736,168,238,719
535:17,1102,29,76,8,866,650,354,138,301
19446:17,698,58,8,650,873,81,986,564,518
32329:76,17,650,81,654,508,361,1023,238,866
9389:650,6,322,495,7194,2939,7560,2593,16191,22484
19447:17,76,616,429,873,285,363,861,787,131
32338:17,76,866,262,81,500,138,361,899,1099
536:302,616,84,654,58,70,29,650,8,138
9394:654,616,29,899,76,354,58,8,866,84
19448:76,17,70,564,866,698,361,2265,225,262
9400:17,302,58,76,29,81,861,138,224,542
538:302,654,616,58,76,1102,736,354,564,301
19452:17,302,654,866,84,70,58,138,361,1102
32355:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19462:17,76,301,245,866,84,182,224,361,899
539:17,654,58,29,8,84,866,518,564,736
32356:17,2292,81,500,76,226,616,650,361,302
9402:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
32364:17,616,302,650,76,84,654,81,327,32
564:76,84,650,8,1102,736,289,518,6,285
9420:654,302,58,76,650,84,899,322,616,146
32379:17,302,58,654,616,8,29,70,226,736
19463:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
9431:17,654,70,508,327,358,1382,378,9594,1468
32409:76,17,8,698,654,616,58,70,542,736
19467:70,899,65,81,226,931,947,378,190,131
582:616,76,84,29,518,1102,354,301,138,736
9432:17,302,654,8,58,29,518,354,736,650
19468:654,354,58,29,224,84,8,1102,616,301
585:17,302,654,76,29,8,616,866,84,58
19475:76,500,17,698,70,302,81,564,616,40
32422:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
590:654,76,650,29,866,8,354,301,736,518
9433:17,327,301,61,363,554,495,840,2495,1957
32439:654,84,302,866,8,1102,736,361,518,76
32451:302,17,616,650,654,58,6,224,76,8
9437:76,17,70,564,40,650,81,901,226,736
19476:5975,495,603,3409,13660,2593,13341,3150,11538,7335
9442:17,986,76,302,500,226,138,140,70,508
601:226,495,2593,16191,22484,26528,4189,21627,24378,2945
19482:17,58,8,302,616,654,76,899,65,327
32477:8322,1539,16965,24933,9674,24425,23923,30815,14915,51232
9443:302,58,76,84,654,354,8,650,866,518
618:17,76,226,302,138,84,654,1102,616,58
32493:17,302,58,616,654,84,650,29,542,8
9451:302,58,616,29,736,518,224,542,8,866
624:17,76,238,226,48,899,698,873,554,947
9473:17,76,4755,698,1352,986,564,899,322,236
19498:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
32495:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
627:17,654,84,302,81,224,76,1102,1109,29
9474:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19503:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19517:302,654,58,76,616,84,8,518,354,301
32533:76,901,96,2512,6545,495,1164,2848,5189,3214
19528:81,76,262,780,70,986,508,891,363,718
628:17,76,58,8,84,70,518,542,354,1102
9486:162,45,495,8213,2469,1589,2073,614,3509,3131
632:76,81,226,361,866,70,986,564,354,508
9487:17,302,654,84,58,616,76,29,301,8
32546:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
633:302,58,654,8,76,564,518,29,650,289
19541:17,866,76,361,8,650,2139,70,518,224
9489:17,654,58,616,84,29,650,8,518,6
634:17,70,986,226,138,899,3423,2292,119,780
9494:2548,840,4755,76,508,616,58,866,81,354
646:17,302,76,654,58,358,546,70,354,40
32565:17,616,354,899,947,2030,931,2200,119,131
19544:17,76,8,29,302,364,564,518,327,542
32571:17,302,616,8,58,84,654,101,508,518
19549:17,302,654,616,58,564,8,327,866,84
9498:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
666:17,76,70,226,2139,8,262,650,81,1382
9499:17,654,302,76,70,58,354,226,61,542
19554:17,58,76,302,518,1102,301,654,354,15
9500:17,76,40,736,361,285,238,61,1069,1196
32580:495,1412,2031,4292,8566,7548,9916,848,2593,2869
667:17,76,302,58,616,654,84,564,138,8
9507:17,76,8,58,84,654,616,518,224,542
19582:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
32583:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
669:17,518,58,564,84,736,302,81,70,654
9514:495,1989,2593,23317,16191,22484,26528,9961,4189,21627
9525:17,302,654,616,354,70,1187,8,518,1119
19583:17,302,58,301,322,236,873,1382,402,168
678:17,302,58,8,654,84,518,29,542,101
9528:17,353,58,302,285,245,654,76,101,1951
19626:302,654,84,866,76,58,301,138,616,736
32584:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
680:17,616,654,58,650,29,8,84,866,518
681:76,508,245,441,226,81,2139,302,1744,719
9531:262,899,947,402,1744,495,840,3704,8384,5663
19646:616,65,902,199,710,1804,495,205,2935,5998
32624:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
9535:76,698,17,654,616,70,81,40,226,58
32625:17,500,542,899,3423,986,119,780,131,2265
9538:17,302,58,654,29,84,650,8,564,518
19680:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19682:17,302,564,76,650,554,356,378,4755,1550
32628:17,302,76,616,8,70,564,508,289,61
19692:17,84,76,736,4364,8,301,518,363,616
682:76,564,81,698,302,17,508,901,238,616
9541:17,518,226,301,899,669,61,1119,947,1023
32641:17,654,616,76,58,70,736,650,302,1382
19705:17,8,650,224,101,114,495,966,1220,7407
32647:17,899,650,236,1245,2030,190,656,116,962
683:866,542,226,15,1535,103,429,1126,1089,495
9553:654,245,84,29,62,162,564,901,224,1109
32656:17,302,654,58,76,616,29,866,285,6
19707:17,81,302,138,500,780,70,226,58,8
684:76,168,698,81,719,1460,2275,866,984,5480
19757:76,17,81,698,564,650,2139,1069,616,301
9568:17,302,654,76,866,84,81,947,70,224
19759:76,787,542,226,285,5738,238,719,901,398
9570:17,302,58,899,866,650,508,361,353,873
32667:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
9571:17,76,81,302,508,327,58,866,226,698
715:17,76,81,8,302,1119,542,354,84,654
9573:17,76,302,564,698,654,616,40,8,81
716:17,302,616,84,654,76,29,564,224,1102
19763:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
32675:495,921,2593,16191,21193,22484,26528,4189,21627,24378
19764:17,302,58,866,76,84,29,70,224,354
741:76,168,226,564,81,70,698,984,463,901
9576:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
32684:17,58,654,302,616,8,76,289,101,564
9580:17,302,616,76,84,58,518,542,902,736
19768:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19774:17,76,302,616,70,58,564,866,650,81
9590:17,302,58,518,301,29,138,354,650,542
19781:17,84,302,866,654,76,58,301,650,226
9593:616,76,8,302,654,866,84,138,301,361
32701:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19788:17,302,58,654,84,650,616,70,76,138
9606:70,76,866,564,508,245,698,650,81,500
750:76,8,564,15,61,32,138,354,226,1102
9612:302,616,58,29,1102,76,301,138,8,866
32707:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19814:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
9613:302,17,76,866,542,616,327,2139,986,698
32715:302,654,8,650,70,15,327,364,1245,931
754:17,302,654,616,58,76,81,70,29,542
32751:17,302,76,224,616,301,61,29,650,81
756:616,84,8,650,866,301,1102,76,736,354
19832:790,866,650,508,327,1119,225,1558,1220,5303
19847:17,302,58,29,616,84,76,354,70,866
9614:17,302,616,58,84,29,650,70,518,224
757:17,302,654,616,58,76,564,84,301,29
32773:17,654,76,616,302,81,224,2139,226,58
9630:76,81,226,719,986,238,984,5480,1400,564
758:17,58,302,76,8,84,616,654,15,518
9665:17,84,58,29,8,138,650,354,6,736
19852:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
763:17,84,650,29,138,8,736,301,866,224
773:17,76,616,650,542,518,224,508,301,289
32776:17,76,8,94,353,3514,6,899,238,245
9666:17,302,654,76,398,866,616,226,361,29
9668:17,302,616,58,224,564,654,76,736,8
19881:495,2140,4364,4107,2593,6142,16191,22484,26528,4189
9680:17,302,616,866,84,29,81,138,736,361
32780:226,931,873,901,378,1352,1091,1208,1539,3704
19882:76,302,84,866,8,650,361,899,518,654
9685:17,15,650,302,568,70,518,654,76,301
774:17,302,76,8,650,84,564,518,61,508
9693:17,654,76,29,58,866,84,302,899,70
9694:76,17,302,866,81,70,226,698,2139,2848
32817:429,225,495,3915,2593,503,16191,17381,22484,9456
19887:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
775:58,76,1102,518,866,736,15,542,138,301
19893:17,866,76,650,70,654,226,58,8,564
9696:654,226,508,924,986,40,168,1126,1539,1709
782:616,654,302,8,81,508,301,899,518,736
32819:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19950:17,8,84,76,58,650,302,101,518,787
